# 12C(0+)         AV18+UX         28-Apr-19

#    pair nnS momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 160 gauss points in r out to 20.00 fm
#    for pairs   1 to  66 with Euler angle
#    sampling of pairs inside r = 50.000 fm

#    total of       2500 samples in blocks of       500

# K = momentum in fm-1
# RHOKNP = neutron-proton pair momentum distribution in fm**3
# DRHOKNP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOKNP(I)*K(I)**2:K(I))/(2*PI)**3 =  35.998
# RHOKPP = proton-proton pair momentum distribution in fm**3
# DRHOKPP = Monte Carlo error bar (1 sigma)
# 4*PI*TOTINT(RHOKPP(I)*K(I)**2:K(I))/(2*PI)**3 =  14.999
 
#   K       RHOKNP       DRHOKNP      RHOKPP       DRHOKPP
# ******  ************  **********  ************  **********
   .001  9107.6        74.349      2188.2        64.384
   .1    8740.3        70.425      2214.2        58.173
   .2    7747.4        59.891      2242.6        42.784
   .3    6388.9        45.714      2170.3        25.551
   .4    4938.5        31.245      1932.6        13.335
   .5    3594          19.132      1553.8         8.3226
   .6    2465          10.695      1123.6         6.2791
   .7    1594.1         5.9696      735.64        4.2166
   .8     976.14        4.1196      442.92        2.5531
   .9     573.02        3.6695      251.82        1.8359
  1       330.34        3.4197      140.77        1.6147
  1.1     193.86        3.0022       81.437       1.3785
  1.2     120.32        2.4511       50.951       1.0847
  1.3      80.707       1.8829       34.885        .8145
  1.4      58.135       1.3803       25.578        .60413
  1.5      43.902        .981        19.454        .43952
  1.6      33.931        .6852       14.986        .30541
  1.7      26.422        .48057      11.545        .20966
  1.8      20.573        .34725       8.8531       .15919
  1.9      15.975        .26101       6.7546       .13257
  2        12.366        .20054       5.1348       .10609
  2.1       9.548        .15354       3.8937       .07794
  2.2       7.3553       .11606       2.9447       .055458
  2.3       5.655        .087614      2.2176       .041605
  2.4       4.3415       .067389      1.6604       .032839
  2.5       3.3317       .053207      1.2357       .025611
  2.6       2.5599       .042789       .9157       .019318
  2.7       1.9728       .034651       .67774      .014437
  2.8       1.5273       .028053       .50268      .010999
  2.9       1.1886       .022663       .37448      .0084978
  3          .93013      .018307       .28052      .0065352
  3.1        .73183      .014872       .21139      .0050837
  3.2        .57907      .012197       .1603       .004176
  3.3        .46096      .010117       .12234      .0035951
  3.4        .36925      .0084626      .09396      .00305
  3.5        .29754      .0070971      .072578     .0024542
  3.6        .24096      .0059355      .056359     .0018938
  3.7        .1959       .0049429      .044007     .0014669
  3.8        .15977      .0041137      .034588     .0011793
  3.9        .13063      .0034427      .027396    9.7957E-4
  4          .10706      .0029189      .021877    8.2646E-4
  4.1        .087936     .0025123      .0176      7.0444E-4
  4.2        .072379     .0021883      .014246    6.0563E-4
  4.3        .059677     .0019156      .011586    5.2391E-4
  4.4        .049226     .0016736      .0094465   4.5567E-4
  4.5        .04053      .0014511      .0076948   3.979E-4
  4.6        .033232     .0012473      .0062398   3.4734E-4
  4.7        .027112     .0010609      .0050324   3.0153E-4
  4.8        .022035    8.9528E-4      .0040491   2.5916E-4
  4.9        .017886    7.4981E-4      .0032687   2.1923E-4
  5          .014539    6.2523E-4      .0026608   1.8208E-4
