12C(0+;0) -> 11B(3/2-;1/2)+p -- AV18+UX -- 17-Mar-21

VMC 20k samples

R = r-space grid in fm
B11P3_03  = p3/2 spectroscopic amplitude in fm-(3/2)
DB11P3_03 = p3/2 Monte Carlo error bar (1 sigma)

Spectroscopic factor
TOTINT(B11P3_03**2*R**2:R) =  2.363 (12)
 
   R     B11P3_03  DB11P3_03
 *****  *********  *********
   .05   -.08813    .1287
   .15    .1329     .03369
   .25    .1132     .01864
   .35    .1839     .01645
   .45    .2271     .01422
   .55    .3128     .01402
   .65    .343      .01233
   .75    .3849     .01161
   .85    .4159     .0116
   .95    .4313     .009989
  1.05    .4772     .009585
  1.15    .4825     .008928
  1.25    .4877     .008225
  1.35    .52       .007943
  1.45    .519      .007503
  1.55    .5244     .007158
  1.65    .5306     .006926
  1.75    .5155     .006491
  1.85    .5268     .006322
  1.95    .499      .005951
  2.05    .4889     .005718
  2.15    .4867     .005568
  2.25    .4723     .005406
  2.35    .4537     .00521
  2.45    .4276     .00497
  2.55    .4058     .004863
  2.65    .3816     .004656
  2.75    .3698     .004607
  2.85    .3457     .004504
  2.95    .3159     .004289
  3.05    .2958     .004217
  3.15    .2736     .004109
  3.25    .2549     .004022
  3.35    .2348     .003921
  3.45    .2093     .00377
  3.55    .1918     .003669
  3.65    .1822     .003737
  3.75    .1642     .00361
  3.85    .1426     .003407
  3.95    .1283     .003348
  4.05    .1228     .003366
  4.15    .1073     .003279
  4.25    .1        .003243
  4.35    .08332    .003057
  4.45    .07517    .002993
  4.55    .06962    .003012
  4.65    .06118    .00303
  4.75    .05051    .002805
  4.85    .05002    .002884
  4.95    .04311    .002787
  5.05    .03592    .002638
  5.15    .03404    .002608
  5.25    .02539    .002385
  5.35    .0264     .002664
  5.45    .02024    .002237
  5.55    .01881    .002249
  5.65    .02017    .002466
  5.75    .01166    .001866
  5.85    .0106     .002005
  5.95    .00892    .00181
  6.05    .01283    .002594
  6.15    .006267   .001682
  6.25    .007174   .002059
  6.35    .003268   .001392
  6.45    .003461   .001463
  6.55    .004266   .001709
  6.65   5.032E-4  4.699E-4
  6.75    .001015  8.831E-4
  6.85   9.734E-4  9.734E-4
  6.95   3.009E-4  3.009E-4
  7.05    .001695   .001567
  7.15  -5.592E-5  5.592E-5
  7.25    .002494   .002494
  7.35   0         0
  7.45   0         0
  7.55   5.931E-5  5.931E-5
  7.65   0         0
  7.75   0         0
  7.85   0         0
  7.95   0         0
  8.05   0         0
  8.15   0         0
  8.25   0         0
  8.35   0         0
  8.45   0         0
  8.55   0         0
  8.65   0         0
  8.75   0         0
  8.85   0         0
  8.95   0         0
  9.05   0         0
  9.15   0         0
  9.25   0         0
  9.35   0         0
  9.45   0         0
  9.55   0         0
  9.65   0         0
  9.75   0         0
  9.85   0         0
  9.95   0         0
 10.05   0         0
 10.15   0         0
 10.25   0         0
 10.35   0         0
 10.45   0         0
 10.55   0         0
 10.65   0         0
 10.75   0         0
 10.85   0         0
 10.95   0         0
 11.05   0         0
 11.15   0         0
 11.25   0         0
 11.35   0         0
 11.45   0         0
 11.55   0         0
 11.65   0         0
 11.75   0         0
 11.85   0         0
 11.95   0         0
 12.05   0         0
 12.15   0         0
 12.25   0         0
 12.35   0         0
 12.45   0         0
 12.55   0         0
 12.65   0         0
 12.75   0         0
 12.85   0         0
 12.95   0         0
 13.05   0         0
 13.15   0         0
 13.25   0         0
 13.35   0         0
 13.45   0         0
 13.55   0         0
 13.65   0         0
 13.75   0         0
 13.85   0         0
 13.95   0         0
 14.05   0         0
 14.15   0         0
 14.25   0         0
 14.35   0         0
 14.45   0         0
 14.55   0         0
 14.65   0         0
 14.75   0         0
 14.85   0         0
 14.95   0         0
 15.05   0         0
 15.15   0         0
 15.25   0         0
 15.35   0         0
 15.45   0         0
 15.55   0         0
 15.65   0         0
 15.75   0         0
 15.85   0         0
 15.95   0         0
 16.05   0         0
 16.15   0         0
 16.25   0         0
 16.35   0         0
 16.45   0         0
 16.55   0         0
 16.65   0         0
 16.75   0         0
 16.85   0         0
 16.95   0         0
 17.05   0         0
 17.15   0         0
 17.25   0         0
 17.35   0         0
 17.45   0         0
 17.55   0         0
 17.65   0         0
 17.75   0         0
 17.85   0         0
 17.95   0         0
 18.05   0         0
 18.15   0         0
 18.25   0         0
 18.35   0         0
 18.45   0         0
 18.55   0         0
 18.65   0         0
 18.75   0         0
 18.85   0         0
 18.95   0         0
 19.05   0         0
 19.15   0         0
 19.25   0         0
 19.35   0         0
 19.45   0         0
 19.55   0         0
 19.65   0         0
 19.75   0         0
 19.85   0         0
 19.95   0         0
 20.05   0         0
