# 12C(0+) -- AV18+UX -- 12-Jun-18

# VMC 5000 samples using 200 gauss points in r out to 20.00 fm

# K = momentum in 1/fm
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  5.9999

# number above K =  2 fm**-1
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .48286

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  200.16
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  200.44
#                                                      400.6

# Kinetic energy above K =  2 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  104.84
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =  104.98
#                                                               209.8
 
#     K       RHOKP       DRHOKP
#  ******  ***********  *********
   .001  418.26       4.4783
   .1    422.96       4.2548
   .2    432.18       3.6494
   .3    434.61       2.8298
   .4    419.7        1.9985
   .5    383.33       1.3215
   .6    329.04        .88097
   .7    265.25        .64927
   .8    201.34        .52054
   .9    144.54        .41494
  1       98.669       .31325
  1.1     64.462       .22273
  1.2     40.612       .15272
  1.3     24.912       .10767
  1.4     15.069       .085679
  1.5      9.1412      .078305
  1.6      5.6816      .076294
  1.7      3.7042      .074663
  1.8      2.582       .0717
  1.9      1.9373      .067028
  2        1.5534      .060802
  2.1      1.3101      .053487
  2.2      1.1429      .045711
  2.3      1.0168      .038103
  2.4       .91258     .031157
  2.5       .82035     .025147
  2.6       .7355      .020144
  2.7       .65642     .016077
  2.8       .58296     .012809
  2.9       .51554     .010201
  3         .45459     .0081298
  3.1       .40027     .006495
  3.2       .35225     .0052237
  3.3       .30989     .0042714
  3.4       .27243     .0036076
  3.5       .23916     .0031884
  3.6       .20949     .0029421
  3.7       .18299     .0027862
  3.8       .15932     .0026563
  3.9       .13819     .0025176
  4         .11933     .0023583
  4.1       .10254     .0021801
  4.2       .087652    .0019899
  4.3       .074572    .0017957
  4.4       .063178    .0016038
  4.5       .053334    .001419
  4.6       .044903    .0012439
  4.7       .037745    .0010806
  4.8       .031705   9.3058E-4
  4.9       .02662    7.9438E-4
  5         .022331   6.7196E-4
  5.1       .018709   5.6273E-4
  5.2       .015644   4.6607E-4
  5.3       .013043   3.8151E-4
  5.4       .010829   3.0867E-4
  5.5       .008942   2.4699E-4
  5.6       .0073399  1.9567E-4
  5.7       .0059902  1.5387E-4
  5.8       .0048635  1.2094E-4
  5.9       .0039322  9.6288E-5
  6         .0031703  7.9183E-5
  6.1       .0025528  6.8318E-5
  6.2       .0020554  6.1835E-5
  6.3       .0016557  5.7857E-5
  6.4       .0013345  5.4999E-5
  6.5       .0010753  5.2472E-5
  6.6      8.6461E-4  4.9908E-5
  6.7      6.921E-4   4.7173E-5
  6.8      5.506E-4   4.4251E-5
  6.9      4.3535E-4  4.118E-5
  7        3.4268E-4  3.8013E-5
  7.1      2.6937E-4  3.4801E-5
  7.2      2.1248E-4  3.1584E-5
  7.3      1.6916E-4  2.8406E-5
  7.4      1.3647E-4  2.5317E-5
  7.5      1.1162E-4  2.2359E-5
  7.6      9.2486E-5  1.9561E-5
  7.7      7.7712E-5  1.6944E-5
  7.8      6.6313E-5  1.4525E-5
  7.9      5.7373E-5  1.2335E-5
  8        5.0179E-5  1.0412E-5
  8.1      4.4443E-5  8.7857E-6
  8.2      4.0135E-5  7.461E-6
  8.3      3.7056E-5  6.4065E-6
  8.4      3.4703E-5  5.5646E-6
  8.5      3.2534E-5  4.8733E-6
  8.6      3.0252E-5  4.2939E-6
  8.7      2.7797E-5  3.8126E-6
  8.8      2.5193E-5  3.4252E-6
  8.9      2.2536E-5  3.111E-6
  9        2.0065E-5  2.8353E-6
  9.1      1.8062E-5  2.5863E-6
  9.2      1.6634E-5  2.3943E-6
  9.3      1.5644E-5  2.3118E-6
  9.4      1.4886E-5  2.3567E-6
  9.5      1.4236E-5  2.4878E-6
  9.6      1.3593E-5  2.6305E-6
  9.7      1.2755E-5  2.7147E-6
  9.8      1.1487E-5  2.6901E-6
  9.9      9.7304E-6  2.5298E-6
 10        7.6549E-6  2.2411E-6
